user;timeStamp;idParent;Id_Article
vikoland;1479333034;Le Monde;international_6
Luciletrb;1479333030;Le Monde;international_6
JulienNorpois;1479332947;Le Monde;international_6
elisal1231;1479332806;Le Monde;international_6
61Gisou;1479332649;Le Monde;international_6
mitongo_t;1479332546;Le Monde;international_6
leoyfsan17;1479332545;Le Monde;international_6
moncadette;1479332537;Le Monde;international_6
Charly_be_good;1479332458;Le Monde;international_6
tricornot;1479332448;Le Monde;international_6
Seydoub54633252;1479332410;Le Monde;international_6
Karine_Gautreau;1479332351;Le Monde;international_6
puyuelopilar;1479332301;Le Monde;international_6
prbertier;1479332127;Le Monde;international_6
Un_gas_de_Shawi;1479331980;Le Monde;international_6
michel_kazadi;1479331928;Le Monde;international_6
Dvnny66;1479331879;Le Monde;international_6
chapdzef;1479331861;Le Monde;international_6
isasauvanon;1479331806;Le Monde;international_6
MiAyotte;1479331775;Le Monde;international_6
cyrilletrignac;1479331759;Le Monde;international_6
CarlaBottinger;1479331758;Le Monde;international_6
Cookieorigins;1479331753;Le Monde;international_6
Messapia1;1479331725;Le Monde;international_6
CarmenFdezA;1479331651;Le Monde;international_6
nordicfreelance;1479331636;Le Monde;international_6
YubelChris;1479331560;Le Monde;international_6
BriceLaemle;1479331550;Le Monde;international_6
ElogeHakizimana;1479331513;Le Monde;international_6
RietSara;1479331507;Le Monde;international_6
EvaTRibes;1479331505;Le Monde;international_6
icp3_zero;1479331459;Le Monde;international_6
FPasquisDumont;1479331448;Le Monde;international_6
celem4;1479331401;Le Monde;international_6
Libuse2013;1479331385;Le Monde;international_6
amzilh53;1479331371;Le Monde;international_6
graalba;1479331335;Le Monde;international_6
KEFISamy;1479331333;Le Monde;international_6
OrigineCertifie;1479331316;Le Monde;international_6
Free_Rob;1479331315;Le Monde;international_6
Alassaneshow;1479331305;Le Monde;international_6
sofia_lssc;1479331280;Le Monde;international_6
ThomasCrook2;1479331259;Le Monde;international_6
SGuedou;1479331251;Le Monde;international_6
nils pedersen;1479330891;null;international_6
Albatros;1479323359;null;international_6
marinellasuiza;1479620602;Albatros;international_6
Mppplm;1479342943;Albatros;international_6
[XL];1479323304;null;international_6
PolitiqueFrance.fr;1479322634;null;international_6
Haiti News Network;1479322043;null;international_6
vivemouton;1479321389;null;international_6
Arthur Colliot;1479321096;null;international_6
Gertrude Michu;1479320886;null;international_6
Madjid Messaoudene;1479319787;null;international_6
PassyLuwansangu;1479635987;Madjid Messaoudene;international_6
vale_vaccaro;1479328158;Madjid Messaoudene;international_6
Mariableuee;1479322993;Madjid Messaoudene;international_6
calamitysis;1479321246;Madjid Messaoudene;international_6
celineLAPORTE;1479321001;Madjid Messaoudene;international_6
Apoetreflects;1479320997;Madjid Messaoudene;international_6
guenotmichel;1479320976;Madjid Messaoudene;international_6
M2bliquis;1479320701;Madjid Messaoudene;international_6
CQFDjournal;1479320064;Madjid Messaoudene;international_6
Chat2Gouttieres;1479320063;Madjid Messaoudene;international_6
Fawkes;1479380067;null;international_7
tomazzzi;1479382363;Fawkes;international_7
Brenon73738436;1479381158;Fawkes;international_7
Le Monde;1479334326;null;international_7
KONOWAL6;1479732787;Le Monde;international_7
HusseiniAl;1479431524;Le Monde;international_7
DourraaExplore;1479363813;Le Monde;international_7
pilatus70;1479363675;Le Monde;international_7
ComteMaintenon;1479363013;Le Monde;international_7
JOHNNYFUTUR;1479361609;Le Monde;international_7
choco0724d;1479354116;Le Monde;international_7
bir6463;1479349876;Le Monde;international_7
esprit1789;1479347182;Le Monde;international_7
idee_kenkyu;1479341155;Le Monde;international_7
Lr_Yannick;1479340913;Le Monde;international_7
soleil82639;1479339581;Le Monde;international_7
magnigiancarlo1;1479338958;Le Monde;international_7
DominoLass;1479338740;Le Monde;international_7
lionelcergy;1479337509;Le Monde;international_7
virginievotier;1479336851;Le Monde;international_7
revolution_fr;1479336686;Le Monde;international_7
potirone;1479336615;Le Monde;international_7
mayascrlt;1479336518;Le Monde;international_7
fadabarcaom;1479336473;Le Monde;international_7
salimdjaffer2;1479336425;Le Monde;international_7
Davidtaieb5;1479336316;Le Monde;international_7
Sampfan;1479335687;Le Monde;international_7
